x,"B(n,p)","N(np,stdev)"
0,0.003171212,0.007349303
1,0.021141413,0.024400546
2,0.066947808,0.062049895
3,0.133895615,0.120856693
4,0.189685455,0.180297
5,0.202331152,0.206012908
6,0.168609293,0.180297
7,0.112406195,0.120856693
8,0.060886689,0.062049895
9,0.027060751,0.024400546
10,0.009922275,0.007349303
11,0.00300675,0.001695434
12,0.000751688,0.000299574
13,0.000154192,4.05429E-05
14,2.56987E-05,4.20256E-06
15,3.4265E-06,3.33658E-07
16,3.56927E-07,2.02898E-08
17,2.79942E-08,9.45019E-10
18,1.55524E-09,3.37126E-11
19,5.45697E-11,9.21153E-13
20,9.09495E-13,1.92779E-14
